Nimi,Vuosi,Genre,Arvosana,Saatavilla
"Blue Jay","2016","Arvostelumenestykset,Draama,Romanttiset elokuvat","3.4","06.12.2016"
"Let's Be Evil","2016","Kansainväliset,Scifi ja fantasia,Trillerit","2.6","13.12.2016"
"Luna Petunia","2016","TV-sarjat","2.9","09.12.2016"
"Spectral","2016","Armeija- ja sotaelokuvat,Scifi ja fantasia,Toiminta ja seikkailu","4.2","09.12.2016"
"Palkkasoturi","2016","Draama,Kansainväliset","3.3","04.12.2016"
"Bob's Broken Sleigh","2015","Koko perheen elokuvat","3.3","06.12.2016"
"Reggie Watts: Spatial","2016","Komedia,Stand-up ja talk showt","3.1","06.12.2016"
"Club de Cuervos","2015","TV-sarjat","4.3","09.12.2016"
"Fuller House","2016","TV-sarjat","4.3","09.12.2016"
"Dirk Gentlyn holistinen etsivätoimisto","2016","TV-sarjat","4.3","11.12.2016"
"Projekti Ihmemaa","2016","TV-sarjat","4","09.12.2016"
"Masaan","2015","Draama,Kansainväliset","2.9","13.12.2016"
"Lost & Found Music Studios","2016","TV-sarjat","4","03.12.2016"
"Nobel","2016","TV-sarjat","2.9","13.12.2016"
"Panttivangit","2016","TV-sarjat","3.6","09.12.2016"
"Tokion oikeudenkäynti","2017","TV-sarjat","3.1","13.12.2016"
"Rezeta","2012","Draama,Kansainväliset,Romanttiset elokuvat","2.3","03.12.2016"
"Komediasyndrooma","2016","Dokumenttielokuvat","2.8","11.12.2016"
"Other People","2016","Arvostelumenestykset,Draama,Komedia","3.6","08.12.2016"
"Hot Tub Time Machine 2","2015","Komedia","3.1","03.12.2016"
"Luokkakokous 2: Hautajaiset","2014","Kansainväliset,Komedia","3.5","05.12.2016"
"Mariah Carey's Merriest Christmas","2015","Koko perheen elokuvat","3.2","09.12.2016"
"Sendero","2015","Kansainväliset,Kauhuelokuvat","2","12.12.2016"
"Man Seeking Woman","2015","TV-sarjat","3","09.12.2016"
"Father of Four: The return of uncle Sofus","2014","Koko perheen elokuvat","3.6","05.12.2016"
